subtype,percent_mapped
A1,92.30605996301573
B,94.41567508651735
CRF01,77.1468017963345
C,93.80774160471674
B,93.63684303040957
B,96.69101563692226
B,11.287386215864759
B,95.34168894209066
CRF02,90.76014412027419
CRF01,94.71011979268776
B,93.3954383856082
B,95.2615809145293
CRF01,94.98246173469387
C,92.24714919994086
B,97.46421856216672
C,93.2340591097659
A1,94.6187080684253
B,94.48226184044661
CRF02,92.97618508966411
B,96.65304154721181
A1,93.95056857270042
B,95.35169008541155
CRF02,93.10100502512563
B,93.10667514303879
